Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,1:00PM ET,boxscore,L,,0-1,@,Atlanta Falcons,10,24,20,281,127,154,3,13,221,91,130,,-16.61,2.92,0.20
2,Mon,September 18,7:15PM ET,boxscore,L,,0-2,,New Orleans Saints,17,20,14,239,139,100,1,23,341,207,134,1,-6.94,-3.81,6.10
3,Sun,September 24,4:05PM ET,boxscore,L,,0-3,@,Seattle Seahawks,27,37,23,378,334,44,,27,425,279,146,1,6.08,-10.21,-4.29
4,Sun,October 1,1:00PM ET,boxscore,L,,0-4,,Minnesota Vikings,13,21,20,232,149,83,1,14,265,130,135,2,-14.29,5.73,-0.38
5,Sun,October 8,1:00PM ET,boxscore,L,,0-5,@,Detroit Lions,24,42,26,342,243,99,3,23,377,218,159,,4.10,-21.57,-0.86
6,Sun,October 15,1:00PM ET,boxscore,L,,0-6,@,Miami Dolphins,21,42,21,296,188,108,,23,424,262,162,1,-6.44,-14.79,0.33
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 29,1:00PM ET,boxscore,W,,1-6,,Houston Texans,15,13,20,224,180,44,,16,229,119,110,1,0.91,3.60,-2.13
9,Sun,November 5,4:05PM ET,boxscore,L,,1-7,,Indianapolis Colts,13,27,17,275,137,138,3,17,198,120,78,1,-23.07,3.93,2.92
10,Thu,November 9,8:15PM ET,boxscore,L,,1-8,@,Chicago Bears,13,16,12,213,170,43,,21,295,162,133,,-6.28,0.42,1.84
11,Sun,November 19,1:00PM ET,boxscore,L,,1-9,,Dallas Cowboys,10,33,13,187,77,110,2,23,311,204,107,,-13.81,-14.98,6.04
12,Sun,November 26,1:00PM ET,boxscore,L,,1-10,@,Tennessee Titans,10,17,19,258,162,96,1,15,264,184,80,,-7.57,-0.52,-0.58
13,Sun,December 3,4:05PM ET,boxscore,L,,1-11,@,Tampa Bay Buccaneers,18,21,15,282,149,133,1,15,322,194,128,1,-4.36,-1.83,1.51
14,Sun,December 10,1:00PM ET,boxscore,L,,1-12,@,New Orleans Saints,6,28,16,303,99,204,2,14,207,110,97,1,-20.04,2.19,-1.99
15,Sun,December 17,1:00PM ET,boxscore,W,,2-12,,Atlanta Falcons,9,7,17,283,154,129,,12,204,152,52,2,-9.24,10.46,0.79
16,Sun,December 24,1:00PM ET,boxscore,L,,2-13,,Green Bay Packers,30,33,26,394,298,96,,25,369,207,162,,20.51,-19.16,-1.99
17,Sun,December 31,1:00PM ET,boxscore,L,,2-14,@,Jacksonville Jaguars,0,26,7,124,67,57,1,16,317,162,155,,-24.80,-6.77,4.36
18,Sun,January 7,1:00PM ET,boxscore,L,,2-15,,Tampa Bay Buccaneers,0,9,11,199,68,131,2,14,228,115,113,,-13.18,7.74,-6.13
