Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,4:25PM ET,boxscore,W,,1-0,@,Seattle Seahawks,30,13,27,426,334,92,,13,180,95,85,,20.95,1.77,-5.73
2,Sun,September 17,4:05PM ET,boxscore,L,,1-1,,San Francisco 49ers,23,30,28,386,297,89,2,21,365,206,159,,3.31,-12.36,2.05
3,Mon,September 25,8:15PM ET,boxscore,L,,1-2,@,Cincinnati Bengals,16,19,15,292,221,71,2,19,309,242,67,1,-7.34,8.00,-3.79
4,Sun,October 1,1:00PM ET,boxscore,W,OT,2-2,@,Indianapolis Colts,29,23,27,467,303,164,1,19,329,196,133,1,15.52,-5.51,-0.74
5,Sun,October 8,4:05PM ET,boxscore,L,,2-3,,Philadelphia Eagles,14,23,17,249,195,54,,28,454,295,159,1,6.25,-16.56,2.84
6,Sun,October 15,4:25PM ET,boxscore,W,,3-3,,Arizona Cardinals,26,9,17,382,203,179,1,20,345,215,130,2,10.25,12.85,-7.36
7,Sun,October 22,4:05PM ET,boxscore,L,,3-4,,Pittsburgh Steelers,17,24,19,354,219,135,1,17,300,214,86,,3.06,-4.14,-6.47
8,Sun,October 29,1:00PM ET,boxscore,L,,3-5,@,Dallas Cowboys,20,43,15,280,188,92,1,24,387,285,102,1,-8.68,-15.46,-1.87
9,Sun,November 5,1:00PM ET,boxscore,L,,3-6,@,Green Bay Packers,3,20,10,187,119,68,2,21,391,207,184,2,-20.49,-2.46,1.58
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 19,4:25PM ET,boxscore,W,,4-6,,Seattle Seahawks,17,16,20,267,185,82,1,16,291,223,68,1,2.26,-0.28,0.20
12,Sun,November 26,4:05PM ET,boxscore,W,,5-6,@,Arizona Cardinals,37,14,25,457,229,228,1,19,292,219,73,,22.85,1.35,-4.78
13,Sun,December 3,4:25PM ET,boxscore,W,,6-6,,Cleveland Browns,36,19,20,399,279,120,,20,327,240,87,1,16.49,1.73,-1.43
14,Sun,December 10,1:00PM ET,boxscore,L,OT,6-7,@,Baltimore Ravens,31,37,24,410,282,128,,23,449,310,139,1,7.96,-13.48,-0.55
15,Sun,December 17,4:05PM ET,boxscore,W,,7-7,,Washington Commanders,28,20,23,445,249,196,2,14,297,218,79,1,8.81,2.14,-3.33
16,Thu,December 21,8:15PM ET,boxscore,W,,8-7,,New Orleans Saints,30,22,23,458,325,133,,18,339,304,35,1,18.19,-1.69,-4.89
17,Sun,December 31,1:00PM ET,boxscore,W,,9-7,@,New York Giants,26,25,22,391,286,105,3,17,389,284,105,1,2.70,4.35,-4.87
18,Sun,January 7,4:25PM ET,boxscore,W,,10-7,@,San Francisco 49ers,21,20,19,258,149,109,1,20,300,175,125,1,11.30,-9.48,2.42
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sun,January 14,8:15PM ET,boxscore,L,,10-8,@,Detroit Lions,23,24,22,425,357,68,,23,334,255,79,,19.93,-15.39,-4.78
