Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,1:00PM ET,boxscore,W,,1-0,,Tennessee Titans,16,15,15,351,282,69,2,16,285,181,104,3,0.83,8.64,-4.03
2,Mon,September 18,7:15PM ET,boxscore,W,,2-0,@,Carolina Panthers,20,17,23,341,207,134,1,14,239,139,100,1,3.81,6.94,-6.10
3,Sun,September 24,1:00PM ET,boxscore,L,,2-1,@,Green Bay Packers,17,18,15,252,175,77,,21,340,245,95,1,-3.02,-1.99,6.26
4,Sun,October 1,1:00PM ET,boxscore,L,,2-2,,Tampa Bay Buccaneers,9,26,16,197,127,70,3,21,353,239,114,1,-14.93,-3.79,2.25
5,Sun,October 8,1:00PM ET,boxscore,W,,3-2,@,New England Patriots,34,0,17,304,168,136,,8,156,111,45,3,-1.91,33.72,3.40
6,Sun,October 15,1:00PM ET,boxscore,L,,3-3,@,Houston Texans,13,20,24,430,341,89,2,19,297,177,120,1,5.96,-8.10,-3.91
7,Thu,October 19,8:15PM ET,boxscore,L,,3-4,,Jacksonville Jaguars,24,31,25,407,295,112,1,18,330,217,113,2,-4.83,-2.64,1.15
8,Sun,October 29,1:00PM ET,boxscore,W,,4-4,@,Indianapolis Colts,38,27,24,511,350,161,1,19,371,207,164,1,23.78,-8.38,-3.03
9,Sun,November 5,1:00PM ET,boxscore,W,,5-4,,Chicago Bears,24,17,18,301,214,87,,20,368,212,156,5,5.10,5.71,3.16
10,Sun,November 12,1:00PM ET,boxscore,L,,5-5,@,Minnesota Vikings,19,27,16,280,215,65,2,23,388,263,125,,-0.04,-10.78,4.27
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,November 26,1:00PM ET,boxscore,L,,5-6,@,Atlanta Falcons,15,24,22,444,296,148,2,25,396,168,228,2,-3.48,-7.53,0.04
13,Sun,December 3,1:00PM ET,boxscore,L,,5-7,,Detroit Lions,28,33,23,362,249,113,2,18,347,205,142,,6.28,-9.55,-2.62
14,Sun,December 10,1:00PM ET,boxscore,W,,6-7,,Carolina Panthers,28,6,14,207,110,97,1,16,303,99,204,2,-2.19,20.04,1.99
15,Sun,December 17,1:00PM ET,boxscore,W,,7-7,,New York Giants,24,6,20,296,209,87,,12,193,133,60,,8.51,15.39,-7.40
16,Thu,December 21,8:15PM ET,boxscore,L,,7-8,@,Los Angeles Rams,22,30,18,339,304,35,1,23,458,325,133,,1.69,-18.19,4.89
17,Sun,December 31,1:00PM ET,boxscore,W,,8-8,@,Tampa Bay Buccaneers,23,13,20,310,202,108,,13,349,292,57,4,0.67,3.93,5.28
18,Sun,January 7,1:00PM ET,boxscore,W,,9-8,,Atlanta Falcons,48,17,27,400,246,154,,14,389,311,78,3,20.65,11.97,-3.08

