Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,September 11,8:15PM ET,boxscore,L,OT,0-1,@,New York Jets,16,22,19,314,217,97,4,13,289,117,172,1,-4.85,1.19,-2.27
2,Sun,September 17,1:00PM ET,boxscore,W,,1-1,,Las Vegas Raiders,38,10,29,450,267,183,,13,240,185,55,3,27.19,4.89,-3.85
3,Sun,September 24,1:00PM ET,boxscore,W,,2-1,@,Washington Commanders,37,3,20,386,218,168,1,15,230,125,105,5,10.16,23.07,-1.39
4,Sun,October 1,1:00PM ET,boxscore,W,,3-1,,Miami Dolphins,48,20,24,414,310,104,,20,393,251,142,2,27.56,2.09,-1.37
5,Sun,October 8,9:30AM ET,boxscore,L,,3-2,,Jacksonville Jaguars,20,25,18,388,359,29,2,29,474,278,196,2,6.27,-13.93,-2.21
6,Sun,October 15,8:20PM ET,boxscore,W,,4-2,,New York Giants,14,9,22,297,169,128,2,20,317,185,132,,2.90,-3.02,-6.70
7,Sun,October 22,1:00PM ET,boxscore,L,,4-3,@,New England Patriots,25,29,24,339,258,81,2,21,364,268,96,1,11.63,-10.65,-5.61
8,Thu,October 26,8:15PM ET,boxscore,W,,5-3,,Tampa Bay Buccaneers,24,18,25,427,312,115,1,17,302,224,78,,9.78,-3.38,-1.24
9,Sun,November 5,8:20PM ET,boxscore,L,,5-4,@,Cincinnati Bengals,18,24,21,317,249,68,2,23,397,343,54,,6.05,-14.35,0.96
10,Mon,November 13,8:15PM ET,boxscore,L,,5-5,,Denver Broncos,22,24,18,369,177,192,4,19,300,178,122,1,-0.44,4.09,-4.65
11,Sun,November 19,4:25PM ET,boxscore,W,,6-5,,New York Jets,32,6,22,393,263,130,1,14,155,92,63,4,14.64,15.34,1.82
12,Sun,November 26,4:25PM ET,boxscore,L,OT,6-6,@,Philadelphia Eagles,34,37,29,505,332,173,1,24,378,193,185,2,13.85,-7.60,-9.18
13,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
14,Sun,December 10,4:25PM ET,boxscore,W,,7-6,@,Kansas City Chiefs,20,17,21,327,209,118,1,21,346,264,82,2,1.78,2.22,0.36
15,Sun,December 17,4:25PM ET,boxscore,W,,8-6,,Dallas Cowboys,31,10,28,351,85,266,,14,195,106,89,1,19.98,3.23,-3.82
16,Sat,December 23,8:00PM ET,boxscore,W,,9-6,@,Los Angeles Chargers,24,22,16,335,230,105,3,18,273,175,98,,7.67,4.02,-9.12
17,Sun,December 31,1:00PM ET,boxscore,W,,10-6,,New England Patriots,27,21,19,281,154,127,1,16,294,191,103,4,0.15,11.94,-1.73
18,Sun,January 7,8:20PM ET,boxscore,W,,11-6,@,Miami Dolphins,21,14,26,473,345,128,3,16,275,167,108,2,12.65,-3.92,3.03
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Mon,January 15,4:30PM ET,boxscore,W,,12-6,,Pittsburgh Steelers,31,17,24,368,189,179,,22,324,218,106,2,16.05,2.33,-7.99
Division,Sun,January 21,6:30PM ET,boxscore,L,,12-7,,Kansas City Chiefs,24,27,27,368,186,182,,21,361,215,146,1,14.55,-11.85,-4.08
