0,1,0,0.636364,0.090909,0.363636,23.636364,20.636364,18.818182,358.636364,225.00,133.636364,1.636364,19.272727,309.727273,219.090909,90.636364,1.454545,3.477273,0.251818,-1.626364,1,0.500000,0.000000,0.625000,17.625000,18.500000,18.625000,331.750000,212.750000,119.000000,2.000000,18.500000,271.625000,154.375000,117.250000,1.875000,-2.573750,3.120000,-0.567500,0
1,2,0,0.636364,0.090909,0.363636,23.636364,20.636364,18.818182,358.636364,225.00,133.636364,1.636364,19.272727,309.727273,219.090909,90.636364,1.454545,3.477273,0.251818,-1.626364,27,0.375000,0.125000,0.250000,19.750000,21.500000,17.000000,311.375000,197.250000,114.125000,1.625000,21.875000,365.375000,250.375000,115.000000,1.250000,1.265000,-4.305000,1.530000,1
2,3,0,0.636364,0.090909,0.363636,23.636364,20.636364,18.818182,358.636364,225.00,133.636364,1.636364,19.272727,309.727273,219.090909,90.636364,1.454545,3.477273,0.251818,-1.626364,4,0.571429,0.000000,0.571429,19.857143,16.428571,20.428571,346.285714,221.857143,124.428571,1.285714,18.142857,317.000000,211.428571,105.571429,1.428571,4.684286,1.810000,-1.164286,0
3,4,0,0.636364,0.090909,0.363636,23.636364,20.636364,18.818182,358.636364,225.00,133.636364,1.636364,19.272727,309.727273,219.090909,90.636364,1.454545,3.477273,0.251818,-1.626364,24,0.727273,0.090909,0.363636,25.363636,21.727273,21.272727,369.272727,271.636364,97.636364,2.181818,19.272727,323.090909,235.000000,88.090909,1.727273,2.621818,0.015455,0.578182,1
4,5,0,0.636364,0.090909,0.363636,23.636364,20.636364,18.818182,358.636364,225.00,133.636364,1.636364,19.272727,309.727273,219.090909,90.636364,1.454545,3.477273,0.251818,-1.626364,21,0.400000,0.100000,0.600000,19.500000,21.600000,19.100000,305.700000,187.700000,118.000000,2.100000,17.100000,282.400000,178.600000,103.800000,1.500000,-6.894000,4.772000,-0.035000,1
5,6,0,0.636364,0.090909,0.363636,23.636364,20.636364,18.818182,358.636364,225.00,133.636364,1.636364,19.272727,309.727273,219.090909,90.636364,1.454545,3.477273,0.251818,-1.626364,15,0.461538,0.000000,0.384615,17.692308,26.000000,17.846154,300.538462,213.461538,87.076923,1.769231,21.923077,354.076923,227.692308,126.384615,1.461538,-1.977692,-7.066923,0.968462,0
6,7,0,0.636364,0.090909,0.363636,23.636364,20.636364,18.818182,358.636364,225.00,133.636364,1.636364,19.272727,309.727273,219.090909,90.636364,1.454545,3.477273,0.251818,-1.626364,9,0.700000,0.200000,0.500000,27.100000,20.100000,24.400000,410.800000,311.300000,99.500000,2.000000,20.900000,344.900000,227.900000,117.000000,1.800000,8.794000,-1.184000,-0.392000,0
7,8,0,0.636364,0.090909,0.363636,23.636364,20.636364,18.818182,358.636364,225.00,133.636364,1.636364,19.272727,309.727273,219.090909,90.636364,1.454545,3.477273,0.251818,-1.626364,24,0.727273,0.090909,0.363636,25.363636,21.727273,21.272727,369.272727,271.636364,97.636364,2.181818,19.272727,323.090909,235.000000,88.090909,1.727273,2.621818,0.015455,0.578182,1
8,10,0,0.636364,0.090909,0.363636,23.636364,20.636364,18.818182,358.636364,225.00,133.636364,1.636364,19.272727,309.727273,219.090909,90.636364,1.454545,3.477273,0.251818,-1.626364,8,0.250000,0.125000,0.500000,21.125000,26.000000,21.000000,351.250000,251.375000,99.875000,1.875000,22.750000,361.500000,225.875000,135.625000,1.625000,1.000000,-5.845000,-2.363750,1
9,11,0,0.636364,0.090909,0.363636,23.636364,20.636364,18.818182,358.636364,225.00,133.636364,1.636364,19.272727,309.727273,219.090909,90.636364,1.454545,3.477273,0.251818,-1.626364,7,0.571429,0.000000,0.571429,24.142857,21.285714,20.428571,342.285714,230.714286,111.571429,1.142857,18.428571,316.714286,183.428571,133.285714,2.000000,2.135714,3.945714,-2.695714,1
10,12,0,0.636364,0.090909,0.363636,23.636364,20.636364,18.818182,358.636364,225.00,133.636364,1.636364,19.272727,309.727273,219.090909,90.636364,1.454545,3.477273,0.251818,-1.626364,26,0.142857,0.142857,0.571429,16.571429,27.571429,14.571429,283.428571,182.714286,100.714286,2.142857,21.428571,374.000000,246.857143,127.142857,1.285714,-8.847143,-3.807143,0.642857,1
11,13,0,0.636364,0.090909,0.363636,23.636364,20.636364,18.818182,358.636364,225.00,133.636364,1.636364,19.272727,309.727273,219.090909,90.636364,1.454545,3.477273,0.251818,-1.626364,13,0.600000,0.000000,0.600000,20.700000,19.400000,19.500000,312.500000,219.400000,93.100000,2.000000,17.500000,309.100000,210.400000,98.700000,1.900000,-0.439000,2.583000,-0.595000,1
12,14,0,0.636364,0.090909,0.363636,23.636364,20.636364,18.818182,358.636364,225.00,133.636364,1.636364,19.272727,309.727273,219.090909,90.636364,1.454545,3.477273,0.251818,-1.626364,6,0.800000,0.000000,0.500000,31.700000,22.000000,24.100000,386.400000,298.700000,87.700000,1.600000,21.100000,343.200000,246.300000,96.900000,2.500000,11.018000,-0.067000,-1.136000,1
