Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 12,1:00PM ET,boxscore,L,,0-1,@,Houston Texans,21,37,20,395,319,76,3,22,449,289,160,,-1.54,-14.76,0.16
2,Sun,September 19,1:00PM ET,boxscore,L,,0-2,,Denver Broncos,13,23,12,189,114,75,2,22,398,302,96,,-2.80,-13.99,-2.29
3,Sun,September 26,1:00PM ET,boxscore,L,,0-3,,Arizona Cardinals,19,31,20,361,202,159,4,23,407,316,91,1,-7.87,-13.26,9.13
4,Thu,September 30,8:20PM ET,boxscore,L,,0-4,@,Cincinnati Bengals,21,24,21,341,202,139,,21,420,342,78,,12.38,-20.93,6.50
5,Sun,October 10,1:00PM ET,boxscore,L,,0-5,,Tennessee Titans,19,37,24,454,256,198,2,23,368,184,184,,3.06,-17.49,-2.30
6,Sun,October 17,9:30AM ET,boxscore,W,,1-5,,Miami Dolphins,23,20,21,396,312,84,1,23,431,354,77,1,4.44,-6.22,2.72
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 31,4:05PM ET,boxscore,L,,1-6,@,Seattle Seahawks,7,31,20,309,227,82,1,17,229,160,69,,-6.73,-7.46,-7.41
9,Sun,November 7,1:00PM ET,boxscore,W,,2-6,,Buffalo Bills,9,6,16,218,139,79,1,17,301,229,72,3,-8.40,12.53,1.32
10,Sun,November 14,1:00PM ET,boxscore,L,,2-7,@,Indianapolis Colts,17,23,15,331,152,179,1,15,295,168,127,,-4.43,4.81,-6.79
11,Sun,November 21,1:00PM ET,boxscore,L,,2-8,,San Francisco 49ers,10,30,14,200,146,54,2,25,333,162,171,,-1.83,-17.86,-0.08
12,Sun,November 28,1:00PM ET,boxscore,L,,2-9,,Atlanta Falcons,14,21,20,357,216,141,2,21,332,183,149,1,-0.52,-6.47,-1.50
13,Sun,December 5,4:25PM ET,boxscore,L,,2-10,@,Los Angeles Rams,7,37,14,197,136,61,2,24,418,290,128,,-12.55,-21.19,3.25
14,Sun,December 12,1:00PM ET,boxscore,L,,2-11,@,Tennessee Titans,0,20,9,192,184,8,4,22,263,161,102,,-18.90,-2.55,4.47
15,Sun,December 19,1:00PM ET,boxscore,L,,2-12,,Houston Texans,16,30,21,296,189,107,,13,281,206,75,1,-1.90,0.77,-10.61
16,Sun,December 26,1:00PM ET,boxscore,L,,2-13,@,New York Jets,21,26,27,384,252,132,1,18,373,100,273,,8.72,-10.13,-4.81
17,Sun,January 2,1:00PM ET,boxscore,L,,2-14,@,New England Patriots,10,50,11,253,173,80,3,32,471,290,181,,-11.33,-32.81,3.40
18,Sun,January 9,1:00PM ET,boxscore,W,,3-14,,Indianapolis Colts,26,11,19,318,217,101,,13,233,139,94,2,7.68,12.44,-3.66

