Week,Day,Date,Time,boxscore,W/L,OT,Rec,Home/Away,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 12,1:00PM ET,boxscore,L,,0-1,,Seattle Seahawks,16,28,23,336,223,113,1,18,381,241,140,1,3.07,-14.35,0.51
2,Sun,September 19,1:00PM ET,boxscore,L,,0-2,,Los Angeles Rams,24,27,22,354,245,109,2,21,371,270,101,2,1.29,-7.11,3.09
3,Sun,September 26,1:00PM ET,boxscore,L,,0-3,@,Tennessee Titans,16,25,19,265,178,87,,24,368,188,180,3,3.98,-7.29,-4.86
4,Sun,October 3,1:00PM ET,boxscore,W,,1-3,@,Miami Dolphins,27,17,20,349,210,139,1,13,203,168,35,2,8.09,1.62,4.01
5,Mon,October 11,8:15PM ET,boxscore,L,OT,1-4,@,Baltimore Ravens,25,31,29,513,390,123,1,30,523,437,86,1,24.00,-21.15,-6.85
6,Sun,October 17,1:00PM ET,boxscore,W,,2-4,,Houston Texans,31,3,15,388,214,174,,19,353,229,124,3,17.25,9.92,-0.25
7,Sun,October 24,8:20PM ET,boxscore,W,,3-4,@,San Francisco 49ers,30,18,17,295,147,148,2,13,280,169,111,4,1.16,15.30,-4.24
8,Sun,October 31,1:00PM ET,boxscore,L,OT,3-5,,Tennessee Titans,31,34,24,307,224,83,3,18,340,247,93,2,3.55,-5.81,-0.74
9,Thu,November 4,8:20PM ET,boxscore,W,,4-5,,New York Jets,45,30,28,532,272,260,,30,486,398,88,2,32.44,-17.45,0.23
10,Sun,November 14,1:00PM ET,boxscore,W,,5-5,,Jacksonville Jaguars,23,17,15,295,168,127,,15,331,152,179,1,-4.81,4.43,6.79
11,Sun,November 21,1:00PM ET,boxscore,W,,6-5,@,Buffalo Bills,41,15,28,370,106,264,,19,311,220,91,4,20.21,-2.80,6.78
12,Sun,November 28,1:00PM ET,boxscore,L,,6-6,,Tampa Bay Buccaneers,31,38,24,392,285,107,5,28,359,217,142,2,6.27,-16.55,3.35
13,Sun,December 5,1:00PM ET,boxscore,W,,7-6,@,Houston Texans,31,0,26,389,151,238,1,9,141,57,84,2,12.97,28.83,-9.16
14,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
15,Sat,December 18,8:20PM ET,boxscore,W,,8-6,,New England Patriots,27,17,15,275,49,226,1,20,365,284,81,2,3.63,2.77,4.16
16,Sat,December 25,8:15PM ET,boxscore,W,,9-6,@,Arizona Cardinals,22,16,20,346,220,126,,20,378,245,133,,2.37,-6.97,6.29
17,Sun,January 2,1:00PM ET,boxscore,L,,9-7,,Las Vegas Raiders,20,23,16,262,140,122,,18,326,241,85,2,4.03,-5.02,-3.28
18,Sun,January 9,1:00PM ET,boxscore,L,,9-8,@,Jacksonville Jaguars,11,26,13,233,139,94,2,19,318,217,101,,-12.44,-7.68,3.66

